,Date,Sun,Moon,Mercury,Venus,Mars,Jupiter,Saturn,Uranus,Neptune,Pluto,North Node,True Node,Chiron,Ascendant,MC,Descendant,IC,Lilith,Ceres,Pallas,Juno,Vesta
22,1989-01-06 18:00:00,Capricorn,Capricorn,Aquarius,Sagittarius,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Leo,Aries,Aquarius,Libra,Virgo,Pisces,Aquarius,Virgo,Scorpio
23,1989-01-06 23:00:00,Capricorn,Capricorn,Aquarius,Sagittarius,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Libra,Cancer,Aries,Capricorn,Virgo,Pisces,Aquarius,Virgo,Scorpio
24,1989-01-07 06:00:00,Capricorn,Capricorn,Aquarius,Sagittarius,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Sagittarius,Libra,Gemini,Aries,Virgo,Pisces,Aquarius,Virgo,Scorpio
25,1989-01-07 12:00:00,Capricorn,Capricorn,Aquarius,Sagittarius,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Taurus,Capricorn,Scorpio,Cancer,Virgo,Pisces,Aquarius,Virgo,Scorpio
26,1989-01-07 18:00:00,Capricorn,Capricorn,Aquarius,Sagittarius,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Leo,Aries,Aquarius,Libra,Virgo,Pisces,Aquarius,Virgo,Scorpio
27,1989-01-07 23:00:00,Capricorn,Capricorn,Aquarius,Sagittarius,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Libra,Cancer,Aries,Capricorn,Virgo,Pisces,Aquarius,Virgo,Scorpio
28,1989-01-08 06:00:00,Capricorn,Capricorn,Aquarius,Sagittarius,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Sagittarius,Libra,Gemini,Aries,Virgo,Pisces,Aquarius,Virgo,Scorpio
29,1989-01-08 12:00:00,Capricorn,Capricorn,Aquarius,Sagittarius,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Taurus,Capricorn,Scorpio,Cancer,Virgo,Pisces,Aquarius,Virgo,Scorpio
30,1989-01-08 18:00:00,Capricorn,Aquarius,Aquarius,Sagittarius,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Leo,Aries,Aquarius,Libra,Virgo,Pisces,Aquarius,Virgo,Scorpio
31,1989-01-08 23:00:00,Capricorn,Aquarius,Aquarius,Sagittarius,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Libra,Cancer,Aries,Capricorn,Virgo,Pisces,Aquarius,Virgo,Scorpio
32,1989-01-09 06:00:00,Capricorn,Aquarius,Aquarius,Sagittarius,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Sagittarius,Libra,Gemini,Aries,Virgo,Pisces,Aquarius,Virgo,Sagittarius
33,1989-01-09 12:00:00,Capricorn,Aquarius,Aquarius,Sagittarius,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Taurus,Capricorn,Scorpio,Cancer,Virgo,Pisces,Aquarius,Virgo,Sagittarius
34,1989-01-09 18:00:00,Capricorn,Aquarius,Aquarius,Sagittarius,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Leo,Aries,Aquarius,Libra,Virgo,Pisces,Aquarius,Virgo,Sagittarius
35,1989-01-09 23:00:00,Capricorn,Aquarius,Aquarius,Sagittarius,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Libra,Cancer,Aries,Capricorn,Virgo,Pisces,Aquarius,Virgo,Sagittarius
36,1989-01-10 06:00:00,Capricorn,Aquarius,Aquarius,Sagittarius,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Sagittarius,Libra,Gemini,Aries,Virgo,Pisces,Aquarius,Virgo,Sagittarius
37,1989-01-10 12:00:00,Capricorn,Aquarius,Aquarius,Sagittarius,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Taurus,Capricorn,Scorpio,Cancer,Virgo,Pisces,Aquarius,Virgo,Sagittarius
